Id,Label,type,labels,description,source_layer,source_name,confidence,degree
e70528b78ffc68ae3a846d516788d7f435aedcaf,ProposalEvent: Alan Turing -> Good–Turing frequency estimation,ProposalEvent,Event;ProposalEvent,PROPOSED,event,wikidata_sparql,0.95,2
ed744fa1064b360acfcfca02f6d0a2141333df69,EducationEvent: Alan Turing -> Sherborne School,EducationEvent,Event;EducationEvent,STUDIED_AT,event,wikidata_sparql,0.95,3
f39ef217cb68fe49a2e99bc130f5e35a3a548bc6,DeathEvent: Alan Turing -> Wilmslow,DeathEvent,Event;DeathEvent,DIED_IN,event,wikidata_sparql,0.95,3
literal:Time:0da24e3bb4d3dedaae48,1912-06-23,Literal,Literal;Time,1912-06-23,literal,,,2
literal:Time:0f6f3c5f98bf927f034c,1938-01-01,Literal,Literal;Time,1938-01-01,literal,,,1
literal:Time:21785e0e0e312d0d4b9f,1937-01-01,Literal,Literal;Time,1937-01-01,literal,,,1
literal:Time:278ce9ae63df4c73cfb8,1931-01-01,Literal,Literal;Time,1931-01-01,literal,,,1
literal:Time:33de5fe2cd954544d48a,1954-06-07,Literal,Literal;Time,1954-06-07,literal,,,1
literal:Time:5ff7b68dd81ab59b4aaf,1946-06-24,Literal,Literal;Time,1946-06-24,literal,,,1
literal:Time:9041828c0460dc10a617,1945-01-01,Literal,Literal;Time,1945-01-01,literal,,,1
literal:Time:b2b342a2f3fc34e359f4,1948-03-01,Literal,Literal;Time,1948-03-01,literal,,,1
literal:Time:bda350e497b57cce603e,1936-01-01,Literal,Literal;Time,1936-01-01,literal,,,1
literal:Time:c50fd659dd5720a71bcb,1926-01-01,Literal,Literal;Time,1926-01-01,literal,,,1
literal:Time:c609396d48345d524ce2,1951-01-01,Literal,Literal;Time,1951-01-01,literal,,,1
literal:Time:db3b90bd9a3e9d01dabd,1936-11-01,Literal,Literal;Time,1936-11-01,literal,,,1
literal:Time:de2233b1ceec1319d178,1934-01-01,Literal,Literal;Time,1934-01-01,literal,,,1
literal:Time:f97cb79e8497cecae08c,1926-01-01T00:00:00Z,Literal,Literal;Time,1926-01-01T00:00:00Z,literal,,,1
