entity_id,alias,alias_lang,normalized_alias
Q14420,Most Excellent Order of the British Empire,en,most excellent order of the british empire
Q14420,Order of the British Empire,en,order of the british empire
Q21578,Princeton,en,princeton
Q21578,College of New Jersey,en,college of new jersey
Q21578,Princeton College,en,princeton college
Q21578,princeton.edu,en,princeton.edu
Q21578,University of Princeton,en,university of princeton
Q21578,Princeton University,en,princeton university
Q35794,Cambridge University,en,cambridge university
Q35794,"The Chancellor, Masters, and Scholars of the University of Cambridge",en,"the chancellor, masters, and scholars of the university of cambridge"
Q35794,The University of Cambridge,en,the university of cambridge
Q35794,Universitas Cantabrigiensis,en,universitas cantabrigiensis
Q35794,Cambridge,en,cambridge
Q35794,劍橋大學,zh,劍橋大學
Q35794,康桥大学,zh,康桥大学
Q35794,康橋大學,zh,康橋大學
Q35794,英国剑桥大学,zh,英国剑桥大学
Q35794,University of Cambridge,en,university of cambridge
Q867530,University of Manchester,en,university of manchester
Q867530,Owens College,en,owens college
Q867530,"Owens College, Manchester",en,"owens college, manchester"
Q867530,曼徹斯特維多利亞大學,zh,曼徹斯特維多利亞大學
Q867530,欧文斯学院,zh,欧文斯学院
Q867530,Victoria University of Manchester,en,victoria university of manchester
Q924289,King's College of Our Lady and Saint Nicholas in Cambridge,en,king's college of our lady and saint nicholas in cambridge
Q924289,"King's College, Cambridge",en,"king's college, cambridge"
Q924289,University of Cambridge King's College,en,university of cambridge king's college
Q924289,劍橋大學英皇學院,zh,劍橋大學英皇學院
Q924289,King's College,en,king's college
Q138518,Princeton borough,en,princeton borough
Q138518,"Princeton, N.J.",en,"princeton, n.j."
Q138518,"Princeton, New Jersey",en,"princeton, new jersey"
Q138518,Princeton,en,princeton
Q586895,"Sherborne, Dorset",en,"sherborne, dorset"
Q586895,謝伯恩,zh,謝伯恩
Q586895,Sherborne,en,sherborne
Q350,剑桥,zh,剑桥
Q350,康桥,zh,康桥
Q350,康橋,zh,康橋
Q350,Cambridge,en,cambridge
Q18125,Capital of the North,en,capital of the north
Q18125,Cottonopolis,en,cottonopolis
Q18125,Madchester,en,madchester
Q18125,"Manchester, England",en,"manchester, england"
Q18125,"Manchester, Lancashire",en,"manchester, lancashire"
Q18125,"Manchester, UK",en,"manchester, uk"
Q18125,Warehouse City,en,warehouse city
Q18125,曼徹斯特,zh,曼徹斯特
Q18125,Manchester,en,manchester
Q4887849,"Benhall, Cheltenham",en,"benhall, cheltenham"
Q7251,Turing,en,turing
Q7251,Alan M. Turing,en,alan m. turing
Q7251,Alan Mathison Turing,en,alan mathison turing
Q7251,Alan Mathieson Turing,en,alan mathieson turing
Q7251,图灵,zh,图灵
Q7251,圖靈,zh,圖靈
Q7251,艾伦·图灵,zh,艾伦·图灵
Q7251,阿兰·图灵,zh,阿兰·图灵
Q7251,阿兰·麦席森·图灵,zh,阿兰·麦席森·图灵
Q7251,Alan Turing,en,alan turing
